NAME	DESCRIPTION
KARS	ENSG00000065427
P3H1	ENSG00000117385
ATP5PD	ENSG00000167863
EXOSC2	ENSG00000130713
PHAX	ENSG00000164902
ENTPD6	ENSG00000197586
MFSD4B	ENSG00000173214
TTL	ENSG00000114999
INO80D	ENSG00000114933
KIF16B	ENSG00000089177
MAML1	ENSG00000161021
MYH14	ENSG00000105357
ZFR	ENSG00000056097
FAM198B	ENSG00000164125
SARS	ENSG00000031698
ELOC	ENSG00000154582
PPM1G	ENSG00000115241
SYNPO2	ENSG00000172403
RC3H2	ENSG00000056586
PPM1F	ENSG00000100034
CTPS1	ENSG00000171793
FNIP1	ENSG00000217128
TTC39B	ENSG00000155158
CHST15	ENSG00000182022
TLK2	ENSG00000146872
FOXJ3	ENSG00000198815
HIPK1	ENSG00000163349
NEU1	ENSG00000204386
HLA-F	ENSG00000204642
PYCR1	ENSG00000183010
HGSNAT	ENSG00000165102
IER2	ENSG00000160888
AKAP11	ENSG00000023516
PPP2CA	ENSG00000113575
POR	ENSG00000127948
SCAF1	ENSG00000126461
SLC4A7	ENSG00000033867
BLCAP	ENSG00000166619
ACAP2	ENSG00000114331
ASXL2	ENSG00000143970
ATP1B1	ENSG00000143153
TNKS2	ENSG00000107854
IFITM2	ENSG00000185201
LAD1	ENSG00000159166
CEP192	ENSG00000101639
JRK	ENSG00000234616
AFG3L2	ENSG00000141385
COP1	ENSG00000143207
CD36	ENSG00000135218
PHRF1	ENSG00000070047
FBL	ENSG00000105202
NDUFA11	ENSG00000174886
VEZT	ENSG00000028203
XRN2	ENSG00000088930
INPP4B	ENSG00000109452
NAA25	ENSG00000111300
SDCBP	ENSG00000137575
UBE2L3	ENSG00000185651
ENTPD4	ENSG00000197217
MOV10	ENSG00000155363
FAM214A	ENSG00000047346
GBP4	ENSG00000162654
CWC25	ENSG00000273559
ARL6IP5	ENSG00000144746
TXN	ENSG00000136810
AK4	ENSG00000162433
PHLDB2	ENSG00000144824
MAPKAP1	ENSG00000119487
SEH1L	ENSG00000085415
VARS	ENSG00000204394
RTF1	ENSG00000137815
SEC23B	ENSG00000101310
FDFT1	ENSG00000079459
RNF216	ENSG00000011275
ZFAND3	ENSG00000156639
OSBP	ENSG00000110048
VEZF1	ENSG00000136451
CDK10	ENSG00000185324
LSM4	ENSG00000130520
KCTD10	ENSG00000110906
MGAT5	ENSG00000152127
SYT12	ENSG00000173227
IRF6	ENSG00000117595
KDM4A	ENSG00000066135
PPP4R3A	ENSG00000100796
MTHFR	ENSG00000177000
GTPBP1	ENSG00000100226
CLPX	ENSG00000166855
MPST	ENSG00000128309
POFUT1	ENSG00000101346
MAN1A1	ENSG00000111885
BAZ1A	ENSG00000198604
ITCH	ENSG00000078747
EXT2	ENSG00000151348
ST3GAL3	ENSG00000126091
DCAF13	ENSG00000164934
SEC63	ENSG00000025796
ADAMTSL3	ENSG00000156218
MBD6	ENSG00000166987
MSH6	ENSG00000116062
ANP32B	ENSG00000136938
MKLN1	ENSG00000128585
CMTM3	ENSG00000140931
PPP1R18	ENSG00000146112
STRN4	ENSG00000090372
XPO5	ENSG00000124571
IFT20	ENSG00000109083
PSMA5	ENSG00000143106
SMIM7	ENSG00000214046
NDUFB4	ENSG00000065518
WDR11	ENSG00000120008
ACBD3	ENSG00000182827
DENND5A	ENSG00000184014
ABCC9	ENSG00000069431
RAB2A	ENSG00000104388
F13A1	ENSG00000124491
SLC16A3	ENSG00000141526
PSMD12	ENSG00000197170
TOMM22	ENSG00000100216
AKAP8L	ENSG00000011243
METTL9	ENSG00000197006
YES1	ENSG00000176105
SLC25A39	ENSG00000013306
SLC2A4RG	ENSG00000125520
ZFC3H1	ENSG00000133858
SIVA1	ENSG00000184990
DMXL2	ENSG00000104093
PIK3C3	ENSG00000078142
EXPH5	ENSG00000110723
CHMP4B	ENSG00000101421
ELL2	ENSG00000118985
SCYL1	ENSG00000142186
FBXO7	ENSG00000100225
PLEKHO1	ENSG00000023902
UBE4B	ENSG00000130939
TBC1D20	ENSG00000125875
LRRC15	ENSG00000172061
ILVBL	ENSG00000105135
CLEC16A	ENSG00000038532
DDX10	ENSG00000178105
XAF1	ENSG00000132530
CAB39	ENSG00000135932
PACSIN2	ENSG00000100266
MUM1	ENSG00000160953
NAXE	ENSG00000163382
TMEM214	ENSG00000119777
LAMA2	ENSG00000196569
ASTN2	ENSG00000148219
AKR1B1	ENSG00000085662
PRCP	ENSG00000137509
MTO1	ENSG00000135297
DPF2	ENSG00000133884
LUC7L	ENSG00000007392
GALNT1	ENSG00000141429
AGAP3	ENSG00000133612
FAM208A	ENSG00000163946
NOMO3	ENSG00000103226
SIGLEC1	ENSG00000088827
FBXO22	ENSG00000167196
SETD3	ENSG00000183576
BLVRA	ENSG00000106605
RARRES3	ENSG00000133321
SMU1	ENSG00000122692
POLG	ENSG00000140521
DCAF11	ENSG00000100897
SLC12A9	ENSG00000146828
PPP4R1	ENSG00000154845
CUL3	ENSG00000036257
NARF	ENSG00000141562
ARHGAP17	ENSG00000140750
SHISA9	ENSG00000237515
PPHLN1	ENSG00000134283
TBC1D14	ENSG00000132405
NBPF12	ENSG00000268043
ATP6V1B2	ENSG00000147416
FAM193B	ENSG00000146067
CAMSAP1	ENSG00000130559
TRIB3	ENSG00000101255
CAT	ENSG00000121691
ERV3-1	ENSG00000213462
SQLE	ENSG00000104549
SPON2	ENSG00000159674
PPL	ENSG00000118898
SYNJ2	ENSG00000078269
TSTA3	ENSG00000104522
HNRNPD	ENSG00000138668
SMAD5	ENSG00000113658
EIF4E	ENSG00000151247
TAF1D	ENSG00000166012
FBXW5	ENSG00000159069
HADHB	ENSG00000138029
TGM2	ENSG00000198959
OTUB1	ENSG00000167770
ODF2	ENSG00000136811
ZNF274	ENSG00000171606
HEATR5A	ENSG00000129493
ARHGAP31	ENSG00000031081
AGFG1	ENSG00000173744
MRPS5	ENSG00000144029
TMEM245	ENSG00000106771
FAM122C	ENSG00000156500
VPS28	ENSG00000160948
LOXL2	ENSG00000134013
NBPF10	ENSG00000271425
CC2D1B	ENSG00000154222
LSS	ENSG00000160285
MAGI3	ENSG00000081026
NSUN2	ENSG00000037474
NIT2	ENSG00000114021
AIDA	ENSG00000186063
CACNA1A	ENSG00000141837
PMPCA	ENSG00000165688
ENTPD1	ENSG00000138185
BCAR1	ENSG00000050820
ZNF829	ENSG00000185869
FAM83F	ENSG00000133477
C16orf58	ENSG00000140688
BRPF3	ENSG00000096070
PDE4B	ENSG00000184588
TMEM30A	ENSG00000112697
GUSB	ENSG00000169919
PIGG	ENSG00000174227
NEBL	ENSG00000078114
TMCO1	ENSG00000143183
CREBZF	ENSG00000137504
CHTF8	ENSG00000168802
HIST1H4H	ENSG00000158406
PLIN2	ENSG00000147872
LDB1	ENSG00000198728
ANKRD40	ENSG00000154945
PARD3	ENSG00000148498
TLCD2	ENSG00000185561
PPP1R13L	ENSG00000104881
NPIPB12	ENSG00000169203
DHX30	ENSG00000132153
NDUFB2	ENSG00000090266
PDE12	ENSG00000174840
VPS41	ENSG00000006715
FAM210B	ENSG00000124098
TSPAN3	ENSG00000140391
CDC25B	ENSG00000101224
DDX46	ENSG00000145833
SECISBP2L	ENSG00000138593
EPS15L1	ENSG00000127527
ZNF195	ENSG00000005801
COX7A2	ENSG00000112695
FKBP5	ENSG00000096060
ZNF101	ENSG00000181896
CYBB	ENSG00000165168
NUB1	ENSG00000013374
FAM111A	ENSG00000166801
TFPI	ENSG00000003436
UNC13B	ENSG00000198722
GLI3	ENSG00000106571
RAB13	ENSG00000143545
IFNGR2	ENSG00000159128
LPIN2	ENSG00000101577
PSMB8	ENSG00000204264
MTSS1	ENSG00000170873
C1QBP	ENSG00000108561
CCSER2	ENSG00000107771
SUMO3	ENSG00000184900
RTRAF	ENSG00000087302
USP6NL	ENSG00000148429
SLC5A3	ENSG00000198743
C9orf3	ENSG00000148120
SPATA20	ENSG00000006282
PTPN12	ENSG00000127947
C12orf49	ENSG00000111412
IRS2	ENSG00000185950
RPAIN	ENSG00000129197
RHOBTB3	ENSG00000164292
PTPRA	ENSG00000132670
KPNA1	ENSG00000114030
ATXN3	ENSG00000066427
PPP1R37	ENSG00000104866
RAB1A	ENSG00000138069
DCAF5	ENSG00000139990
KDM6B	ENSG00000132510
MAPK1IP1L	ENSG00000168175
NCOA5	ENSG00000124160
SCNN1A	ENSG00000111319
CHMP1B	ENSG00000255112
AP1G2	ENSG00000213983
SYNE3	ENSG00000176438
ECHS1	ENSG00000127884
GNG12	ENSG00000172380
TCIRG1	ENSG00000110719
HARS	ENSG00000170445
GABRE	ENSG00000102287
NOLC1	ENSG00000166197
HIST1H4B	ENSG00000278705
DOCK2	ENSG00000134516
HLA-DMB	ENSG00000242574
SPATS2	ENSG00000123352
BPNT1	ENSG00000162813
NREP	ENSG00000134986
SCP2	ENSG00000116171
DENND4C	ENSG00000137145
PRKACA	ENSG00000072062
NDUFV1	ENSG00000167792
ATP6V0A1	ENSG00000033627
DCP2	ENSG00000172795
RPL36AL	ENSG00000165502
RAB22A	ENSG00000124209
MYDGF	ENSG00000074842
DSTYK	ENSG00000133059
UBXN7	ENSG00000163960
TES	ENSG00000135269
MICALL1	ENSG00000100139
GPX3	ENSG00000211445
TFAP2A	ENSG00000137203
SIPA1L2	ENSG00000116991
KDM1A	ENSG00000004487
OSMR	ENSG00000145623
DTX4	ENSG00000110042
DUS1L	ENSG00000169718
DESI1	ENSG00000100418
ATP8B2	ENSG00000143515
ARNT	ENSG00000143437
COX8A	ENSG00000176340
RDH13	ENSG00000160439
RNF7	ENSG00000114125
ETFA	ENSG00000140374
ARL1	ENSG00000120805
USP5	ENSG00000111667
ADA2	ENSG00000093072
CAMKK2	ENSG00000110931
NEDD4L	ENSG00000049759
CTCF	ENSG00000102974
PSEN1	ENSG00000080815
MTMR4	ENSG00000108389
BUB3	ENSG00000154473
PKD1P1	ENSG00000183889
SMAD4	ENSG00000141646
POLR2D	ENSG00000144231
CMPK1	ENSG00000162368
FUNDC2	ENSG00000165775
BCL2	ENSG00000171791
COL5A3	ENSG00000080573
WASHC4	ENSG00000136051
IFI16	ENSG00000163565
BTN3A1	ENSG00000026950
IMMT	ENSG00000132305
NFATC2IP	ENSG00000176953
NR3C1	ENSG00000113580
CLINT1	ENSG00000113282
SEC23IP	ENSG00000107651
GPC1	ENSG00000063660
SPOP	ENSG00000121067
RNF24	ENSG00000101236
APEH	ENSG00000164062
SNTB2	ENSG00000168807
CSK	ENSG00000103653
CD93	ENSG00000125810
MBD2	ENSG00000134046
PAPSS2	ENSG00000198682
TRIM41	ENSG00000146063
RBMS1	ENSG00000153250
CRACR2B	ENSG00000177685
PTPN2	ENSG00000175354
SUCLG1	ENSG00000163541
B4GALT5	ENSG00000158470
RSRC2	ENSG00000111011
SH2B1	ENSG00000178188
TUBB3	ENSG00000258947
SMAD3	ENSG00000166949
BRD3	ENSG00000169925
ZYG11B	ENSG00000162378
STX7	ENSG00000079950
CARHSP1	ENSG00000153048
RBBP5	ENSG00000117222
ADD3	ENSG00000148700
BZW2	ENSG00000136261
RHBDF2	ENSG00000129667
HADH	ENSG00000138796
CCT8	ENSG00000156261
WIPI2	ENSG00000157954
OPA3	ENSG00000125741
CHMP1A	ENSG00000131165
ERO1A	ENSG00000197930
PSPC1	ENSG00000121390
PRPF38A	ENSG00000134748
EPN2	ENSG00000072134
KANK1	ENSG00000107104
FUT8	ENSG00000033170
ERN1	ENSG00000178607
UBFD1	ENSG00000103353
RUNDC1	ENSG00000198863
ZC3H4	ENSG00000130749
INTS8	ENSG00000164941
CFAP54	ENSG00000188596
GNL3	ENSG00000163938
NDUFS5	ENSG00000168653
ESRP2	ENSG00000103067
ELF1	ENSG00000120690
UNC5C	ENSG00000182168
CCAR2	ENSG00000158941
UVSSA	ENSG00000163945
IRF3	ENSG00000126456
PLEKHG2	ENSG00000090924
PLEKHA2	ENSG00000169499
PLEKHM2	ENSG00000116786
CMIP	ENSG00000153815
PTDSS1	ENSG00000156471
TLDC1	ENSG00000140950
WDR45B	ENSG00000141580
CERK	ENSG00000100422
LUC7L2	ENSG00000146963
ASB3	ENSG00000115239
NUP58	ENSG00000139496
BRI3BP	ENSG00000184992
REEP3	ENSG00000165476
SEPT8	ENSG00000164402
WFS1	ENSG00000109501
GLO1	ENSG00000124767
IRS1	ENSG00000169047
ANAPC11	ENSG00000141552
SLC27A5	ENSG00000083807
FAM193A	ENSG00000125386
RSAD2	ENSG00000134321
DOT1L	ENSG00000104885
EPB41L1	ENSG00000088367
LUZP1	ENSG00000169641
SYTL1	ENSG00000142765
GBA	ENSG00000177628
ARID2	ENSG00000189079
LRCH4	ENSG00000077454
PPM1K	ENSG00000163644
DDX39A	ENSG00000123136
TSR1	ENSG00000167721
TFDP1	ENSG00000198176
FAM222B	ENSG00000173065
SLF2	ENSG00000119906
SLC7A2	ENSG00000003989
ACAP3	ENSG00000131584
ERCC1	ENSG00000012061
PREB	ENSG00000138073
TBC1D5	ENSG00000131374
RBM14	ENSG00000239306
SEC14L1	ENSG00000129657
CEP104	ENSG00000116198
KIAA0040	ENSG00000235750
ITSN2	ENSG00000198399
DEPDC5	ENSG00000100150
TMEM138	ENSG00000149483
WASHC5	ENSG00000164961
NCAPD2	ENSG00000010292
DENND3	ENSG00000105339
DPP7	ENSG00000176978
CLASP2	ENSG00000163539
CPLANE1	ENSG00000197603
EIF2B5	ENSG00000145191
SNRPD3	ENSG00000100028
BMP1	ENSG00000168487
CIB1	ENSG00000185043
RNF103	ENSG00000239305
CCL5	ENSG00000271503
AC118549.1	ENSG00000036549
QRICH1	ENSG00000198218
POLR1D	ENSG00000186184
FSCN1	ENSG00000075618
NFE2L2	ENSG00000116044
WDFY2	ENSG00000139668
VPS4B	ENSG00000119541
RHOT2	ENSG00000140983
TEAD1	ENSG00000187079
GFM1	ENSG00000168827
COMP	ENSG00000105664
CDKL5	ENSG00000008086
SEMA3F	ENSG00000001617
AHSA1	ENSG00000100591
MFSD12	ENSG00000161091
SHPRH	ENSG00000146414
PTPN18	ENSG00000072135
GLB1	ENSG00000170266
GABBR1	ENSG00000204681
ERAP1	ENSG00000164307
OSBPL9	ENSG00000117859
NPNT	ENSG00000168743
ZNF891	ENSG00000214029
EIF1AX	ENSG00000173674
TBC1D10B	ENSG00000169221
ZNF160	ENSG00000170949
S100A13	ENSG00000189171
TRAPPC10	ENSG00000160218
YTHDC1	ENSG00000083896
COQ4	ENSG00000167113
SGSM3	ENSG00000100359
CLSTN3	ENSG00000139182
ZBED1	ENSG00000214717
PSMA2	ENSG00000106588
CSNK1G2	ENSG00000133275
NAT10	ENSG00000135372
CXXC5	ENSG00000171604
MICALL2	ENSG00000164877
MTMR12	ENSG00000150712
ATAD2B	ENSG00000119778
POTEI	ENSG00000196834
TINF2	ENSG00000092330
QTRT2	ENSG00000151576
MRPL51	ENSG00000111639
CBL	ENSG00000110395
C2orf68	ENSG00000168887
ADCY7	ENSG00000121281
GDE1	ENSG00000006007
ABCF1	ENSG00000204574
HNRNPUL2-BSCL2	ENSG00000234857
INPP4A	ENSG00000040933
CAPN13	ENSG00000162949
PDK1	ENSG00000152256
SF3A3	ENSG00000183431
SMG6	ENSG00000070366
FAM53B	ENSG00000189319
DDX19A	ENSG00000168872
CLK1	ENSG00000013441
ALKBH5	ENSG00000091542
TAB2	ENSG00000055208
BCL2L13	ENSG00000099968
UQCC2	ENSG00000137288
RAPGEF2	ENSG00000109756
DDX18	ENSG00000088205
NME6	ENSG00000172113
NFKBIA	ENSG00000100906
MCMBP	ENSG00000197771
CDC73	ENSG00000134371
NRDE2	ENSG00000119720
ADIPOR2	ENSG00000006831
PDHB	ENSG00000168291
FHOD1	ENSG00000135723
GPR157	ENSG00000180758
FBRSL1	ENSG00000112787
RNASE1	ENSG00000129538
EGFR	ENSG00000146648
GTPBP2	ENSG00000172432
SHANK3	ENSG00000251322
ITGA2	ENSG00000164171
PIKFYVE	ENSG00000115020
AC005726.1	ENSG00000258472
UAP1	ENSG00000117143
EVC	ENSG00000072840
ZBTB8A	ENSG00000160062
CACNA1D	ENSG00000157388
PSME3	ENSG00000131467
ZCCHC24	ENSG00000165424
MED12	ENSG00000184634
NENF	ENSG00000117691
NQO2	ENSG00000124588
ATF7	ENSG00000170653
OLFML2B	ENSG00000162745
CYP4V2	ENSG00000145476
N4BP1	ENSG00000102921
GAS6	ENSG00000183087
UBE3B	ENSG00000151148
CUL9	ENSG00000112659
FRMD6	ENSG00000139926
CERS4	ENSG00000090661
ARFRP1	ENSG00000101246
GPS1	ENSG00000169727
CSRNP2	ENSG00000110925
TCEA1	ENSG00000187735
SEMA4D	ENSG00000187764
RMND5B	ENSG00000145916
P4HA1	ENSG00000122884
TMX4	ENSG00000125827
EXT1	ENSG00000182197
ZMAT3	ENSG00000172667
PCOLCE	ENSG00000106333
IL17RC	ENSG00000163702
PHF8	ENSG00000172943
TP53BP2	ENSG00000143514
PIN1	ENSG00000127445
MPLKIP	ENSG00000168303
EME2	ENSG00000197774
MAN2A1	ENSG00000112893
PSMB5	ENSG00000100804
ERCC5	ENSG00000134899
RBM15B	ENSG00000259956
DDX58	ENSG00000107201
SUDS3	ENSG00000111707
DMWD	ENSG00000185800
LYRM7	ENSG00000186687
MX2	ENSG00000183486
GRHPR	ENSG00000137106
CA5B	ENSG00000169239
IFNAR1	ENSG00000142166
ZNF3	ENSG00000166526
KRT15	ENSG00000171346
CACNG4	ENSG00000075461
BABAM1	ENSG00000105393
WWC1	ENSG00000113645
HLA-DRB5	ENSG00000198502
EPN3	ENSG00000049283
RIPOR1	ENSG00000039523
SH3YL1	ENSG00000035115
NXN	ENSG00000167693
GRB10	ENSG00000106070
LMCD1	ENSG00000071282
VPS36	ENSG00000136100
ERRFI1	ENSG00000116285
ZMYND11	ENSG00000015171
SH3GL1	ENSG00000141985
NMT2	ENSG00000152465
HIST1H2BD	ENSG00000158373
TCERG1	ENSG00000113649
OTUD4	ENSG00000164164
MIGA1	ENSG00000180488
BIRC5	ENSG00000089685
WWC2	ENSG00000151718
CAPN15	ENSG00000103326
TIMM50	ENSG00000105197
N4BP3	ENSG00000145911
ZNF33A	ENSG00000189180
FERMT2	ENSG00000073712
RNF44	ENSG00000146083
FAAP20	ENSG00000162585
NFASC	ENSG00000163531
SIPA1L1	ENSG00000197555
GNPTG	ENSG00000090581
ATP6AP2	ENSG00000182220
LMTK2	ENSG00000164715
CPM	ENSG00000135678
CHURC1	ENSG00000258289
ZNF117	ENSG00000152926
UBXN6	ENSG00000167671
FMN1	ENSG00000248905
ZNF496	ENSG00000162714
WASHC2C	ENSG00000172661
TUT7	ENSG00000083223
IMPDH1	ENSG00000106348
PPP1R3B	ENSG00000173281
PRR13	ENSG00000205352
SMC5	ENSG00000198887
NOL4L	ENSG00000197183
TRIR	ENSG00000123144
SLC7A1	ENSG00000139514
EIF4E2	ENSG00000135930
MAPK14	ENSG00000112062
SAMD9L	ENSG00000177409
MPC2	ENSG00000143158
HDAC1	ENSG00000116478
DLC1	ENSG00000164741
MRPL49	ENSG00000149792
DROSHA	ENSG00000113360
STEAP4	ENSG00000127954
RPS6KB1	ENSG00000108443
DGCR8	ENSG00000128191
ADRM1	ENSG00000130706
IL10RA	ENSG00000110324
IRF9	ENSG00000213928
GTF2IRD1	ENSG00000006704
APOL2	ENSG00000128335
AL031777.3	ENSG00000282988
ACOT9	ENSG00000123130
UBE2J1	ENSG00000198833
HSPA4L	ENSG00000164070
PRKD2	ENSG00000105287
BRD1	ENSG00000100425
MEF2A	ENSG00000068305
ZBTB40	ENSG00000184677
KIAA0232	ENSG00000170871
SCRN1	ENSG00000136193
UBR3	ENSG00000144357
MOGS	ENSG00000115275
CD2BP2	ENSG00000169217
NIPSNAP2	ENSG00000146729
PLCXD1	ENSG00000182378
FIS1	ENSG00000214253
MKRN1	ENSG00000133606
TNKS	ENSG00000173273
ATAD2	ENSG00000156802
PEX19	ENSG00000162735
NIPAL2	ENSG00000104361
BACH1	ENSG00000156273
RAD9A	ENSG00000172613
CNIH4	ENSG00000143771
KIAA1191	ENSG00000122203
PTPN23	ENSG00000076201
DAB2IP	ENSG00000136848
IL4R	ENSG00000077238
WDR12	ENSG00000138442
NVL	ENSG00000143748
DCAF16	ENSG00000163257
RNPEPL1	ENSG00000142327
POLR3A	ENSG00000148606
TRIB1	ENSG00000173334
TMUB2	ENSG00000168591
ZNF556	ENSG00000172000
VAV2	ENSG00000160293
SLC39A11	ENSG00000133195
TOX4	ENSG00000092203
ECM1	ENSG00000143369
TGFBRAP1	ENSG00000135966
IQCE	ENSG00000106012
TLE1	ENSG00000196781
NPTN	ENSG00000156642
CEP95	ENSG00000258890
XPC	ENSG00000154767
GRAMD4	ENSG00000075240
FAP	ENSG00000078098
APPBP2	ENSG00000062725
PCMTD1	ENSG00000168300
CYB5R4	ENSG00000065615
PCDH7	ENSG00000169851
SLC25A37	ENSG00000147454
BRD9	ENSG00000028310
EHD2	ENSG00000024422
CHD1	ENSG00000153922
APC	ENSG00000134982
BTN3A2	ENSG00000186470
ATG16L2	ENSG00000168010
IREB2	ENSG00000136381
FLYWCH1	ENSG00000059122
LIMK1	ENSG00000106683
FKBP14	ENSG00000106080
UNC45A	ENSG00000140553
ANAPC1	ENSG00000153107
TRIM11	ENSG00000154370
ITGB8	ENSG00000105855
DMXL1	ENSG00000172869
CRTC3	ENSG00000140577
CMTR1	ENSG00000137200
GTF2IRD2B	ENSG00000174428
RFFL	ENSG00000092871
USF3	ENSG00000176542
EPC1	ENSG00000120616
CRCP	ENSG00000241258
USP15	ENSG00000135655
ANP32A	ENSG00000140350
GREM1	ENSG00000166923
MARCH7	ENSG00000136536
CD82	ENSG00000085117
RYK	ENSG00000163785
ANKRD28	ENSG00000206560
YTHDF2	ENSG00000198492
PER2	ENSG00000132326
ATXN10	ENSG00000130638
ACADSB	ENSG00000196177
GLTP	ENSG00000139433
ABCG1	ENSG00000160179
MRPS15	ENSG00000116898
EHD1	ENSG00000110047
UBXN2A	ENSG00000173960
SESTD1	ENSG00000187231
SPPL2B	ENSG00000005206
TMEM41B	ENSG00000166471
ZNF148	ENSG00000163848
SUGT1	ENSG00000165416
ZNF268	ENSG00000090612
CUL7	ENSG00000044090
RPTOR	ENSG00000141564
CLDN3	ENSG00000165215
CCNY	ENSG00000108100
CMTM6	ENSG00000091317
MMS19	ENSG00000155229
SETBP1	ENSG00000152217
TNPO3	ENSG00000064419
SIRT2	ENSG00000068903
ATXN1L	ENSG00000224470
DNAJA4	ENSG00000140403
TUBGCP2	ENSG00000130640
RNF169	ENSG00000166439
CASP2	ENSG00000106144
BMS1	ENSG00000165733
ETV3	ENSG00000117036
CASP8	ENSG00000064012
P2RX4	ENSG00000135124
FAM53C	ENSG00000120709
TRAM2	ENSG00000065308
PFKP	ENSG00000067057
USP47	ENSG00000170242
HOOK2	ENSG00000095066
DNM1L	ENSG00000087470
ATG16L1	ENSG00000085978
EGLN3	ENSG00000129521
SCUBE2	ENSG00000175356
TLK1	ENSG00000198586
LEMD2	ENSG00000161904
CBLB	ENSG00000114423
RAPGEF5	ENSG00000136237
LARGE1	ENSG00000133424
BLVRB	ENSG00000090013
TAF15	ENSG00000270647
ROMO1	ENSG00000125995
IL17RA	ENSG00000177663
CREB3L1	ENSG00000157613
PARD6B	ENSG00000124171
CPEB4	ENSG00000113742
ZNF318	ENSG00000171467
POLR2E	ENSG00000099817
CRAMP1	ENSG00000007545
ZEB1	ENSG00000148516
ING5	ENSG00000168395
CCDC14	ENSG00000175455
KIFC2	ENSG00000167702
FAM129A	ENSG00000135842
SLC30A7	ENSG00000162695
HMGB2	ENSG00000164104
MLLT1	ENSG00000130382
UBE2L6	ENSG00000156587
BRD7	ENSG00000166164
RAB14	ENSG00000119396
NUP153	ENSG00000124789
PRKCD	ENSG00000163932
RILPL2	ENSG00000150977
LIAS	ENSG00000121897
ZBTB8B	ENSG00000273274
RMDN1	ENSG00000176623
NHLRC2	ENSG00000196865
SAE1	ENSG00000142230
GTDC1	ENSG00000121964
TBC1D8	ENSG00000204634
NAV2	ENSG00000166833
ZNF347	ENSG00000197937
WWP2	ENSG00000198373
GORASP2	ENSG00000115806
DDHD2	ENSG00000085788
MEGF9	ENSG00000106780
NEO1	ENSG00000067141
CNOT3	ENSG00000088038
TLN2	ENSG00000171914
ADIPOQ	ENSG00000181092
VMA21	ENSG00000160131
VKORC1L1	ENSG00000196715
FBXO9	ENSG00000112146
ZCCHC14	ENSG00000140948
PIGQ	ENSG00000007541
FGFR1OP	ENSG00000213066
S100A4	ENSG00000196154
MRPL41	ENSG00000182154
KIAA0556	ENSG00000047578
POLDIP3	ENSG00000100227
RARRES1	ENSG00000118849
SFXN1	ENSG00000164466
TSPAN9	ENSG00000011105
RAB3GAP1	ENSG00000115839
SLC7A6	ENSG00000103064
FARP2	ENSG00000006607
NDUFS8	ENSG00000110717
PCMTD2	ENSG00000203880
RNF4	ENSG00000063978
OPA1	ENSG00000198836
SCARB1	ENSG00000073060
CSE1L	ENSG00000124207
LYPLA1	ENSG00000120992
NUTF2	ENSG00000102898
COX7A2L	ENSG00000115944
KREMEN1	ENSG00000183762
ZXDC	ENSG00000070476
ATP5MC3	ENSG00000154518
IWS1	ENSG00000163166
MRPS34	ENSG00000074071
KLHDC4	ENSG00000104731
UQCRFS1	ENSG00000169021
UBE2M	ENSG00000130725
MAN2A2	ENSG00000196547
LETMD1	ENSG00000050426
GLMP	ENSG00000198715
PIP5K1C	ENSG00000186111
PSMD7	ENSG00000103035
SHROOM1	ENSG00000164403
FBXL5	ENSG00000118564
PNPLA6	ENSG00000032444
ERLEC1	ENSG00000068912
RAD50	ENSG00000113522
ARHGAP45	ENSG00000180448
WDR59	ENSG00000103091
NCKAP1L	ENSG00000123338
RBM26	ENSG00000139746
ERAL1	ENSG00000132591
LGALS9	ENSG00000168961
SIRPA	ENSG00000198053
PPARA	ENSG00000186951
KDM6A	ENSG00000147050
TOMM70	ENSG00000154174
BTBD7	ENSG00000011114
NCBP1	ENSG00000136937
VRK3	ENSG00000105053
MEGF6	ENSG00000162591
SQOR	ENSG00000137767
FCGR2A	ENSG00000143226
C2CD2	ENSG00000157617
FAM160B2	ENSG00000158863
DENND2D	ENSG00000162777
AFF3	ENSG00000144218
WTIP	ENSG00000142279
MCUR1	ENSG00000050393
ETNK1	ENSG00000139163
RHPN1	ENSG00000158106
TUT4	ENSG00000134744
TMEM106B	ENSG00000106460
DDX52	ENSG00000278053
COG4	ENSG00000103051
WASH6P	ENSG00000182484
ZCCHC8	ENSG00000033030
MS4A6A	ENSG00000110077
PPRC1	ENSG00000148840
MZT2A	ENSG00000173272
SH3D19	ENSG00000109686
CAMSAP2	ENSG00000118200
USP19	ENSG00000172046
ARHGEF40	ENSG00000165801
PSMB6	ENSG00000142507
NLRP1	ENSG00000091592
RUFY3	ENSG00000018189
TSNAX	ENSG00000116918
ACAA2	ENSG00000167315
ACSF3	ENSG00000176715
MCRIP2	ENSG00000172366
SNX33	ENSG00000173548
APRT	ENSG00000198931
STK11	ENSG00000118046
BANF1	ENSG00000175334
CACNA1C	ENSG00000151067
CCDC50	ENSG00000152492
DCTN4	ENSG00000132912
C6orf132	ENSG00000188112
WIPI1	ENSG00000070540
GPCPD1	ENSG00000125772
TOM1L1	ENSG00000141198
CIZ1	ENSG00000148337
INO80E	ENSG00000169592
CUTA	ENSG00000112514
OXA1L	ENSG00000155463
GRIPAP1	ENSG00000068400
PSMC4	ENSG00000013275
SPAST	ENSG00000021574
SLC12A4	ENSG00000124067
DHX8	ENSG00000067596
LRRFIP2	ENSG00000093167
COL4A5	ENSG00000188153
PRPSAP1	ENSG00000161542
DHCR7	ENSG00000172893
ATP2B1	ENSG00000070961
